Name,DOB
Riya Yadav,08-03-2000
Aditi Mishra,09-03-1997
Simran Tiwari,10-03-2001
Nisha Joshi,11-03-1996
Shreya Soni,12-03-2002
Muskan Agrawal,13-03-1995
Sakshi Dubey,14-03-1999
Tanya Malhotra,15-03-1998
Mansi Saxena,16-03-2000
Radhika Choudhary,17-03-1997
Komal Thakur,18-03-2001
Divya Pandey,19-03-1996
Pallavi Srivastava,20-03-2002
Nandini Tripathi,21-03-1995
Swati Shukla,22-03-1999
Megha Rai,23-03-1998
Preeti Vyas,24-03-2000
Payal Bansal,25-03-1997
Shivani Kapoor,26-03-2001
Kriti Saxena,27-03-1996
Rashmi Agrawal,28-03-2002
Poonam Jain,29-03-1995
Bhavna Sharma,30-03-1999
Jyoti Verma,31-03-1998
Aarohi Singh,01-04-2000
Myra Gupta,02-04-1997
Ananya Patel,03-04-2001
Avni Mehta,04-04-1996
Diya Jain,05-04-2002
Sara Yadav,06-04-1995
Kiara Mishra,07-04-1999
Navya Tiwari,08-04-1998
Ira Joshi,09-04-2000
Aadhya Soni,10-04-1997
Vanya Agrawal,11-04-2001
Pari Dubey,12-04-1996
Anika Malhotra,13-04-2002
Meera Saxena,14-04-1995
Tara Choudhary,15-04-1999
Rhea Thakur,16-04-1998
Mahima Pandey,17-04-2000
Kashish Srivastava,18-04-1997
Ishita Tripathi,19-04-2001
Tanvi Shukla,20-04-1996
Saloni Rai,21-04-2002
Akanksha Vyas,22-04-1995
Shruti Bansal,23-04-1999
Sonal Kapoor,24-04-1998
Nikita Saxena,25-04-2000
Preksha Agrawal,26-04-1997
Ritu Jain,27-04-2001
Rupali Sharma,28-04-1996
Kiran Verma,29-04-2002
Archana Singh,30-04-1995
Madhuri Gupta,01-05-1999
Shalini Patel,02-05-1998
Rekha Mehta,03-05-2000
Seema Jain,04-05-1997
Kajal Yadav,05-05-2001
Poonam Mishra,06-05-1996
Payal Tiwari,07-05-2002
Rani Joshi,08-05-1995
Mamta Soni,09-05-1999
Suman Agrawal,10-05-1998
Sunita Dubey,11-05-2000
Renu Malhotra,12-05-1997
Kusum Saxena,13-05-2001
Shobha Choudhary,14-05-1996
Usha Thakur,15-05-2002
Vandana Pandey,16-05-1995
Asha Srivastava,17-05-1999
Geeta Tripathi,18-05-1998
Naina Shukla,19-05-2000
Rachna Rai,20-05-1997
Renu Vyas,21-05-2001
Deepa Bansal,22-05-1996
Monika Kapoor,23-05-2002
Poonam Saxena,24-05-1995
Shweta Agrawal,25-05-1999
Chhavi Jain,26-05-1998
Mona Sharma,27-05-2000
Nisha Verma,28-05-1997
Alka Singh,29-05-2001
Reena Gupta,30-05-1996
Archana Patel,31-05-2002
Raj Sharma,01-06-1995
Kunal Verma,02-06-1999
Ravi Singh,03-06-1998
Aman Gupta,04-06-2000
Vivek Patel,05-06-1997
Sahil Mehta,06-06-2001
Rohit Jain,07-06-1996
Mohit Yadav,08-06-2002
Naman Mishra,09-06-1995
Varun Tiwari,10-06-1999
Harshit Joshi,11-06-1998
Mayank Soni,12-06-2000
Abhishek Agrawal,13-06-1997
Shubham Dubey,14-06-2001
Chirag Malhotra,15-06-1996
Yuvraj Saxena,16-06-2002
Tejas Choudhary,17-06-1995
Keshav Thakur,18-06-1999
Arnav Pandey,19-06-1998
Shrey Srivastava,20-06-2000
Devansh Tripathi,21-06-1997
Pratham Shukla,22-06-2001
Darsh Rai,23-06-1996
Lakshit Vyas,24-06-2002
Raghav Bansal,25-06-1995
Shaurya Kapoor,26-06-1999
Parth Saxena,27-06-1998
Abeer Agrawal,28-06-2000
Vedant Jain,29-06-1997
Atharv Sharma,30-06-2001
Anmol Verma,01-07-1996
Abhay Singh,02-07-2002
Aryan Gupta,03-07-1995
Rishit Patel,04-07-1999
Adit Mehta,05-07-1998
Dhruv Jain,06-07-2000
Rudraksh Yadav,07-07-1997
Sarthak Mishra,08-07-2001
Shiv Tiwari,09-07-1996
Ayansh Joshi,10-07-2002
Harsh Soni,11-07-1995
Kartik Agrawal,12-07-1999
Akhil Dubey,13-07-1998
Girish Malhotra,14-07-2000
Manish Saxena,15-07-1997
Lokesh Choudhary,16-07-2001
Dinesh Thakur,17-07-1996
Rajesh Pandey,18-07-2002
Mukesh Srivastava,19-07-1995
Suresh Tripathi,20-07-1999
Ramesh Shukla,21-07-1998
Mahesh Rai,22-07-2000
Naresh Vyas,23-07-1997
Yogesh Bansal,24-07-2001
Rakesh Kapoor,25-07-1996
Vijay Saxena,26-07-2002
Ajay Agrawal,27-07-1995
Sanjay Jain,28-07-1999
Manoj Sharma,29-07-1998
Prakash Verma,30-07-2000
Ashok Singh,31-07-1997
Rohan Gupta,01-08-2001
Karan Patel,02-08-1996
Samar Mehta,03-08-2002
Nikhil Jain,04-08-1995
Rajat Yadav,05-08-1999
Aayush Mishra,06-08-1998
Tushar Tiwari,07-08-2000
Gaurav Joshi,08-08-1997
Piyush Soni,09-08-2001
Ritesh Agrawal,10-08-1996
Tarun Dubey,11-08-2002
Naveen Malhotra,12-08-1995
Vikas Saxena,13-08-1999
Nitin Choudhary,14-08-1998
Sumit Thakur,15-08-2000
Amit Pandey,16-08-1997
Rahul Srivastava,17-08-2001
Rohit Tripathi,18-08-1996
Aakash Shukla,19-08-2002
Deepak Rai,20-08-1995
Saurabh Vyas,21-08-1999
Ankit Bansal,22-08-1998
Vishal Kapoor,23-08-2000
Sachin Saxena,24-08-1997
Varun Agrawal,25-08-2001
Arpit Jain,26-08-1996
Nakul Sharma,27-08-2002
Manav Verma,28-08-1995
Dev Singh,29-08-1999
Kush Gupta,30-08-1998
Ashutosh Mohanty,30-08-1998
Bhawesh Choudhary,30-08-1998
Yash Patel,31-08-2000
Aarav Mehta,01-09-1997
Vivaan Jain,02-09-2001
Aditya Yadav,03-09-1996
Arjun Mishra,04-09-2002
Kabir Tiwari,05-09-1995
Reyansh Joshi,06-09-1999
Ayaan Soni,07-09-1998
Krishna Agrawal,08-09-2000
Ishaan Dubey,09-09-1997
Vihaan Malhotra,10-09-2001
Rudra Saxena,11-09-1996
Atharv Choudhary,12-09-2002
Dhruv Thakur,13-09-1995
Shivansh Pandey,14-09-1999
Ansh Srivastava,15-09-1998
Rohan Tripathi,16-09-2000
Rahul Shukla,17-09-1997
Amit Rai,18-09-2001
Nikhil Vyas,19-09-1996
Kunal Bansal,20-09-2002
Varun Kapoor,21-09-1995
Yash Saxena,22-09-1999
Mohit Agrawal,23-09-1998
Siddharth Jain,24-09-2000
Harsh Sharma,25-09-1997
Manish Verma,26-09-2001
Akash Singh,27-09-1996
Rishabh Gupta,28-09-2002
Ayush Patel,29-09-1995
Tushar Mehta,30-09-1999
Saurabh Jain,01-10-1998
Neeraj Yadav,02-10-2000
Pranav Mishra,03-10-1997
Dev Tiwari,04-10-2001
Kartik Joshi,05-10-1996
Lakshya Soni,06-10-2002
Manav Agrawal,07-10-1995
Parth Dubey,08-10-1999
Samar Malhotra,09-10-1998
Abhinav Saxena,10-10-2000
Varun Choudhary,11-10-1997
Ritesh Thakur,12-10-2001
Gaurav Pandey,13-10-1996
Deepak Srivastava,14-10-2002
Piyush Tripathi,15-10-1995
Rajat Shukla,16-10-1999
Naveen Rai,17-10-1998
Tarun Vyas,18-10-2000
Vivek Bansal,19-10-1997
Karan Kapoor,20-10-2001
Sameer Saxena,21-10-1996
Ashish Agrawal,22-10-2002
Nitin Jain,23-10-1995
Ravi Sharma,24-10-1999
Sumit Verma,25-10-1998
Ankit Singh,26-10-2000
Vikas Gupta,27-10-1997
Rohit Patel,28-10-2001
Aman Mehta,29-10-1996
Neha Jain,30-10-2002
Priya Yadav,31-10-1995
Anjali Mishra,01-11-1999
Pooja Tiwari,02-11-1998
Sneha Joshi,03-11-2000
Kavya Soni,04-11-1997
Isha Agrawal,05-11-2001
Riya Dubey,06-11-1996
Aditi Malhotra,07-11-2002
Simran Saxena,08-11-1995
Nisha Choudhary,09-11-1999
Shreya Thakur,10-11-1998
Muskan Pandey,11-11-2000
Sakshi Srivastava,12-11-1997
Tanya Tripathi,13-11-2001
Mansi Shukla,14-11-1996
Radhika Rai,15-11-2002
Komal Vyas,16-11-1995
Divya Bansal,17-11-1999
Pallavi Kapoor,18-11-1998
Nandini Saxena,19-11-2000
Swati Agrawal,20-11-1997
Megha Jain,21-11-2001
Preeti Sharma,22-11-1996
Payal Verma,23-11-2002
Shivani Singh,24-11-1995
Kriti Gupta,25-11-1999
Rashmi Patel,26-11-1998
Poonam Mehta,27-11-2000
Bhavna Jain,28-11-1997
Jyoti Yadav,29-11-2001
Aarohi Mishra,30-11-1996
Myra Tiwari,01-12-2002
Ananya Joshi,02-12-1995
Avni Soni,03-12-1999
Diya Agrawal,04-12-1998
Sara Dubey,05-12-2000
Kiara Malhotra,06-12-1997
Navya Saxena,07-12-2001
Ira Choudhary,08-12-1996
Aadhya Thakur,09-12-2002
Vanya Pandey,10-12-1995
Pari Srivastava,11-12-1999
Anika Tripathi,12-12-1998
Meera Shukla,13-12-2000
Tara Rai,14-12-1997
Rhea Vyas,15-12-2001
Mahima Bansal,16-12-1996
Kashish Kapoor,17-12-2002
Ishita Saxena,18-12-1995
Tanvi Agrawal,19-12-1999
Saloni Jain,20-12-1998
Akanksha Sharma,21-12-2000
Shruti Verma,22-12-1997
Sonal Singh,23-12-2001
Nikita Gupta,24-12-1996
Preksha Patel,25-12-2002
Ritu Mehta,26-12-1995
Rupali Jain,27-12-1999
Kiran Yadav,28-12-1998
Archana Mishra,29-12-2000
Madhuri Tiwari,30-12-1997
Shalini Joshi,31-12-2001
